parameter,min,max,
crop_carbon_above_sp2,0.323844,0.524156,
crop_base_left_delta,-0.25,0.25,
crop_proj_left_delta,-0.25,0.25,
crop_carbon_below_sp2,0.279492,0.484508,
crop_base_yield_delta,-1,1,
crop_proj_yield_delta,-1,1,
crop_root_in_top_30,0.437567742,0.740739253,
base_sf_n_delta,-0.002,0.002,
mortality_fraction_branch_delta,-0.25,0.25,
mortality_fraction_croot_delta,-0.25,0.25,
mortality_fraction_froot_delta,-0.25,0.25,
mortality_fraction_leaf_delta,-0.25,0.25,
mortality_fraction_stem_delta,-0.25,0.25,
base_sf_qty_scale,0.9,1.1,
volatile_frac_synthetic_fertiliser,0.02,0.33,
ef_N_inputs,0.002,0.018,
combustion_factor_crop,0.4,1,
combustion_factor_tree,0.4656,1,
thinning_fraction_branch_delta,-0.25,0.25,
thinning_fraction_croot_delta,-0.25,0.25,
thinning_fraction_froot_delta,-0.25,0.25,
ef_burn_tree_CH4_scale,0.25,1.75,
thinning_fraction_leaf_delta,-0.25,0.25,
thinning_fraction_stem_delta,-0.25,0.25,
base_thinning_delta,-0.1,0.1,
litter_carbon,0.49118,0.50882,
base_lit_qty_scale,0.9,1.1,
litter_nitrogen,0.01702,0.01898,
volatile_frac_organic_fertiliser,0,0.31,
cy0_to_ceq_multiplier,1,1.5,
base_cover,0,1,
roth_c_dpm_frac_crop,0.57,0.72,
roth_c_dpm_frac_tree,0.124343257,0.450549451,
roth_c_temp_a1,46,53,
roth_c_temp_a2,97.62,149.53,
roth_c_moisture_b_slope,0.4,0.8,
roth_c_cover_c,0.4,0.65,
pool_alloc_froot_sp1,0.08,0.13,
pool_alloc_leaf_sp1,0.08,0.13,
pool_alloc_stem_sp1,0.66,0.73,
tree_carbon_sp1,0.424372,0.529428,
crop_nitrogen_above_sp1,0.245,1.715,
crop_nitrogen_below_sp1,0.245,1.715,
crop_root_to_shoot_sp1,0.5,1.5,
crop_intercept_sp1,0.49,1.47,
crop_slope_sp1,0.49,1.47,
ef_burn_crop_CH4_scale,0.25,1.75,
tree_nitrogen_branch_sp1,0.0005,0.01,
tree_nitrogen_croot_sp1,0.0005,0.01,
tree_nitrogen_froot_sp1,0.0113216,0.0114784,
tree_nitrogen_leaf_sp1,0.008,0.041,
tree_nitrogen_leaf_sp1,0.004,0.031,
tree_nitrogen_stem_sp1,0.0005,0.001,
tree_root_in_top_30,0.5,0.9,
base_stand_density_scale,0.7,1.3,
ef_burn_crop_N2O_scale,0.25,1.75,
ef_burn_tree_N2O_scale,0.25,1.75,
tree_root_to_shoot_sp1,0.1,1.9,
base_fire_off,0,1,
base_fire_on,0,1,
base_mortality,0.005,0.03,
pool_turnover_branch_sp1,0.013947001,0.03236246,
pool_turnover_croot_sp1,0.1,0.52,
pool_turnover_froot_sp1,0.52,1,
pool_turnover_leaf_sp1,0.806451613,1,
pool_turnover_stem_sp1,0.015625,0.017857143,
tree_wood_dens_sp1,0.2844,0.9116,
proj_sf_n_delta,-0.002,0.002,
proj_sf_qty_scale,0.9,1.1,
proj_thinning_delta,-0.1,0.1,
proj_lit_qty_scale,0.9,1.1,
proj_cover,0,1,
proj_stand_density_scale,0.7,1.3,
proj_fire_off,0,1,
proj_fire_on,0,1,
proj_mortality,0.005,0.03,
